route_id,route_name,mode,hour,day_of_week,is_weekend,weather,period,lighting_score,crowd_level,incident_count_30d,delay_minutes
R1,Whitefield -> MG Road,Metro+Bus,6,Thursday,0,Fog,off_peak,7.46,4.86,0,17.94
R1,Whitefield -> MG Road,Metro+Bus,23,Friday,0,Rain,late_night,2.71,2.68,3,9.3
R1,Whitefield -> MG Road,Metro+Bus,16,Wednesday,0,Rain,off_peak,6.78,4.58,1,10.72
R1,Whitefield -> MG Road,Metro+Bus,22,Thursday,0,Clear,late_night,3.06,2.69,1,0.0
R1,Whitefield -> MG Road,Metro+Bus,3,Monday,0,Fog,late_night,3.47,3.17,3,12.2
R1,Whitefield -> MG Road,Metro+Bus,13,Monday,0,Clear,off_peak,6.62,5.66,1,2.09
R1,Whitefield -> MG Road,Metro+Bus,21,Friday,0,Fog,off_peak,7.26,4.39,0,16.66
R1,Whitefield -> MG Road,Metro+Bus,20,Tuesday,0,Fog,evening_rush,6.55,9.43,1,29.25
R1,Whitefield -> MG Road,Metro+Bus,6,Monday,0,Rain,off_peak,7.27,5.54,0,13.75
R1,Whitefield -> MG Road,Metro+Bus,6,Tuesday,0,Clear,off_peak,7.1,5.59,0,6.26
R1,Whitefield -> MG Road,Metro+Bus,15,Sunday,1,Clear,off_peak,6.73,5.5,1,5.54
R1,Whitefield -> MG Road,Metro+Bus,13,Wednesday,0,Rain,off_peak,7.45,5.2,1,12.89
R1,Whitefield -> MG Road,Metro+Bus,14,Tuesday,0,Clear,off_peak,7.31,5.54,0,0.0
R1,Whitefield -> MG Road,Metro+Bus,12,Sunday,1,Rain,off_peak,6.76,4.7,4,10.06
R1,Whitefield -> MG Road,Metro+Bus,11,Thursday,0,Heavy Rain,off_peak,7.05,4.81,0,26.12
R1,Whitefield -> MG Road,Metro+Bus,19,Friday,0,Heavy Rain,evening_rush,7.0,8.86,1,42.02
R1,Whitefield -> MG Road,Metro+Bus,18,Tuesday,0,Clear,evening_rush,7.12,10.0,3,21.52
R1,Whitefield -> MG Road,Metro+Bus,1,Wednesday,0,Clear,late_night,3.03,4.48,1,2.52
R1,Whitefield -> MG Road,Metro+Bus,0,Monday,0,Clear,late_night,2.42,3.69,5,1.9
R1,Whitefield -> MG Road,Metro+Bus,15,Monday,0,Clear,off_peak,7.58,5.05,1,6.26
R1,Whitefield -> MG Road,Metro+Bus,3,Wednesday,0,Rain,late_night,3.55,3.26,6,8.39
R1,Whitefield -> MG Road,Metro+Bus,15,Tuesday,0,Fog,off_peak,6.49,5.07,4,8.59
R1,Whitefield -> MG Road,Metro+Bus,8,Wednesday,0,Rain,morning_rush,7.03,9.55,4,26.33
R1,Whitefield -> MG Road,Metro+Bus,15,Saturday,1,Fog,off_peak,6.96,3.84,2,13.32
R1,Whitefield -> MG Road,Metro+Bus,3,Monday,0,Clear,late_night,2.44,3.52,4,0.61
R1,Whitefield -> MG Road,Metro+Bus,5,Saturday,1,Clear,late_night,3.14,3.5,5,3.88
R1,Whitefield -> MG Road,Metro+Bus,18,Thursday,0,Clear,evening_rush,7.14,8.87,0,18.79
R1,Whitefield -> MG Road,Metro+Bus,23,Friday,0,Clear,late_night,2.77,3.47,3,4.14
R1,Whitefield -> MG Road,Metro+Bus,9,Sunday,1,Heavy Rain,morning_rush,6.68,8.22,0,28.91
R1,Whitefield -> MG Road,Metro+Bus,16,Monday,0,Clear,off_peak,7.13,6.07,0,1.75
R1,Whitefield -> MG Road,Metro+Bus,2,Tuesday,0,Heavy Rain,late_night,3.44,3.86,6,20.07
R1,Whitefield -> MG Road,Metro+Bus,22,Sunday,1,Clear,late_night,4.16,1.88,2,1.02
R1,Whitefield -> MG Road,Metro+Bus,19,Tuesday,0,Heavy Rain,evening_rush,6.9,9.94,1,37.32
R1,Whitefield -> MG Road,Metro+Bus,3,Saturday,1,Clear,late_night,4.19,4.11,6,1.39
R1,Whitefield -> MG Road,Metro+Bus,22,Tuesday,0,Clear,late_night,3.83,2.8,4,0.0
R1,Whitefield -> MG Road,Metro+Bus,15,Friday,0,Rain,off_peak,7.64,5.62,1,11.05
R1,Whitefield -> MG Road,Metro+Bus,15,Wednesday,0,Rain,off_peak,7.23,4.44,1,13.33
R1,Whitefield -> MG Road,Metro+Bus,0,Saturday,1,Clear,late_night,3.82,2.14,2,0.82
R1,Whitefield -> MG Road,Metro+Bus,18,Tuesday,0,Clear,evening_rush,7.12,9.34,6,27.8
R1,Whitefield -> MG Road,Metro+Bus,18,Wednesday,0,Fog,evening_rush,7.13,8.93,2,34.44
R1,Whitefield -> MG Road,Metro+Bus,13,Tuesday,0,Clear,off_peak,7.34,4.31,1,0.0
R1,Whitefield -> MG Road,Metro+Bus,18,Monday,0,Clear,evening_rush,6.69,9.8,1,26.71
R1,Whitefield -> MG Road,Metro+Bus,20,Friday,0,Clear,evening_rush,6.79,7.93,4,23.66
R1,Whitefield -> MG Road,Metro+Bus,12,Sunday,1,Rain,off_peak,7.39,5.01,0,6.34
R1,Whitefield -> MG Road,Metro+Bus,18,Monday,0,Clear,evening_rush,6.96,8.88,1,23.18
R1,Whitefield -> MG Road,Metro+Bus,4,Wednesday,0,Rain,late_night,2.28,3.16,6,16.07
R1,Whitefield -> MG Road,Metro+Bus,2,Sunday,1,Clear,late_night,3.25,3.03,4,3.67
R1,Whitefield -> MG Road,Metro+Bus,4,Saturday,1,Fog,late_night,2.28,2.16,5,13.18
R1,Whitefield -> MG Road,Metro+Bus,11,Saturday,1,Rain,off_peak,6.65,4.05,1,7.62
R1,Whitefield -> MG Road,Metro+Bus,19,Thursday,0,Rain,evening_rush,7.17,9.44,2,28.73
R1,Whitefield -> MG Road,Metro+Bus,16,Monday,0,Heavy Rain,off_peak,7.0,5.06,2,22.67
R1,Whitefield -> MG Road,Metro+Bus,13,Sunday,1,Clear,off_peak,7.36,6.09,1,0.0
R1,Whitefield -> MG Road,Metro+Bus,11,Tuesday,0,Fog,off_peak,7.29,4.13,0,15.67
R1,Whitefield -> MG Road,Metro+Bus,7,Tuesday,0,Clear,morning_rush,6.76,8.2,0,20.35
R1,Whitefield -> MG Road,Metro+Bus,21,Sunday,1,Clear,off_peak,6.83,4.46,4,4.85
R1,Whitefield -> MG Road,Metro+Bus,1,Tuesday,0,Fog,late_night,2.96,2.83,8,15.48
R1,Whitefield -> MG Road,Metro+Bus,2,Sunday,1,Clear,late_night,3.02,2.73,4,1.02
R1,Whitefield -> MG Road,Metro+Bus,16,Tuesday,0,Clear,off_peak,7.1,4.55,2,5.87
R1,Whitefield -> MG Road,Metro+Bus,11,Monday,0,Clear,off_peak,7.05,4.39,0,7.08
R1,Whitefield -> MG Road,Metro+Bus,14,Friday,0,Rain,off_peak,6.71,5.41,0,11.19
R1,Whitefield -> MG Road,Metro+Bus,1,Saturday,1,Rain,late_night,4.03,3.15,7,11.47
R1,Whitefield -> MG Road,Metro+Bus,16,Tuesday,0,Rain,off_peak,6.54,5.72,0,10.64
R1,Whitefield -> MG Road,Metro+Bus,10,Wednesday,0,Clear,morning_rush,7.15,9.45,1,14.7
R1,Whitefield -> MG Road,Metro+Bus,17,Friday,0,Clear,evening_rush,6.76,8.66,0,21.13
R1,Whitefield -> MG Road,Metro+Bus,0,Friday,0,Clear,late_night,2.4,4.18,3,0.34
R1,Whitefield -> MG Road,Metro+Bus,10,Sunday,1,Clear,morning_rush,7.05,8.53,3,9.11
R1,Whitefield -> MG Road,Metro+Bus,22,Saturday,1,Clear,late_night,2.51,3.02,3,3.55
R1,Whitefield -> MG Road,Metro+Bus,14,Monday,0,Rain,off_peak,7.08,4.23,1,14.91
